Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,100.0,42,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.9,52,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.1,45,0
Scripture - 3 Min - Novice - Psalm 23,100.0,31,1
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.9,47,0
Scripture - 5 Min - Novice - Psalm 51,99.9,46,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,99.1,48,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,99.2,50,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,42,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,63,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.0,54,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.7,51,0
